epoch,total_loss,encoder_mse,decoder_mse,ber_loss,duration
133,0.6499,0.0010,0.4328,0.4328,10
134,0.5539,0.0009,0.3689,0.3689,10
135,0.6003,0.0009,0.3998,0.3998,10
136,0.6017,0.0009,0.4007,0.4007,10
137,0.5020,0.0010,0.3342,0.3342,10
138,0.5489,0.0009,0.3655,0.3655,10
139,0.6047,0.0009,0.4027,0.4027,10
140,0.6504,0.0010,0.4331,0.4331,10
141,0.6511,0.0009,0.4336,0.4336,10
142,0.6993,0.0010,0.4658,0.4658,10
143,0.7544,0.0010,0.5025,0.5025,10
144,0.5509,0.0009,0.3668,0.3668,10
145,0.5516,0.0010,0.3673,0.3673,11
146,0.4996,0.0009,0.3326,0.3326,10
147,0.4995,0.0009,0.3326,0.3326,10
148,0.5497,0.0009,0.3660,0.3660,11
149,0.5487,0.0010,0.3653,0.3653,10
150,0.5513,0.0010,0.3671,0.3671,10
151,0.6530,0.0009,0.4349,0.4349,10
152,0.6512,0.0009,0.4337,0.4337,10
153,0.5499,0.0010,0.3662,0.3662,10
154,0.6049,0.0009,0.4028,0.4028,10
155,0.5510,0.0009,0.3669,0.3669,10
156,0.7029,0.0009,0.4682,0.4682,10
157,0.6490,0.0009,0.4323,0.4323,10
158,0.6010,0.0010,0.4002,0.4002,10
159,0.6019,0.0009,0.4008,0.4008,10
160,0.7561,0.0010,0.5036,0.5036,10
161,0.6464,0.0009,0.4305,0.4305,10
162,0.6417,0.0009,0.4274,0.4274,10
163,0.6499,0.0009,0.4328,0.4328,10
164,0.6478,0.0009,0.4314,0.4314,11
165,0.6039,0.0010,0.4021,0.4021,10
166,0.7023,0.0010,0.4678,0.4678,10
167,0.5506,0.0009,0.3666,0.3666,10
168,0.5965,0.0009,0.3973,0.3973,11
169,0.6022,0.0010,0.4010,0.4010,10
170,0.6557,0.0009,0.4367,0.4367,10
171,0.5528,0.0009,0.3681,0.3681,10
172,0.5984,0.0010,0.3985,0.3985,10
173,0.5554,0.0009,0.3698,0.3698,10
174,0.6515,0.0009,0.4339,0.4339,10
175,0.4478,0.0010,0.2981,0.2981,10
176,0.6019,0.0009,0.4008,0.4008,10
177,0.5036,0.0009,0.3353,0.3353,10
178,0.5554,0.0009,0.3698,0.3698,10
179,0.6459,0.0009,0.4302,0.4302,10
180,0.6484,0.0009,0.4318,0.4318,10
181,0.6582,0.0009,0.4383,0.4383,11
182,0.6510,0.0009,0.4336,0.4336,10
183,0.6028,0.0010,0.4014,0.4014,10
184,0.6940,0.0009,0.4622,0.4622,10
185,0.6528,0.0010,0.4348,0.4348,10
186,0.5014,0.0009,0.3338,0.3338,10
187,0.5498,0.0009,0.3661,0.3661,10
188,0.5469,0.0010,0.3641,0.3641,10
189,0.7039,0.0009,0.4688,0.4688,10
190,0.5509,0.0009,0.3668,0.3668,10
191,0.5000,0.0009,0.3329,0.3329,10
192,0.4987,0.0009,0.3320,0.3320,10
193,0.7059,0.0009,0.4702,0.4702,10
194,0.6523,0.0009,0.4345,0.4345,10
195,0.5560,0.0010,0.3702,0.3702,10
196,0.3523,0.0010,0.2344,0.2344,10
197,0.6496,0.0009,0.4326,0.4326,10
198,0.7497,0.0010,0.4994,0.4994,10
199,0.7526,0.0010,0.5013,0.5013,10
200,0.7507,0.0010,0.5000,0.5000,10
201,0.6525,0.0010,0.4346,0.4346,10
202,0.5061,0.0009,0.3370,0.3370,10
203,0.6524,0.0009,0.4345,0.4345,10
204,0.5998,0.0009,0.3994,0.3994,10
205,0.6509,0.0009,0.4335,0.4335,10
206,0.7043,0.0009,0.4691,0.4691,11
207,0.5999,0.0009,0.3995,0.3995,10
208,0.6471,0.0009,0.4310,0.4310,10
209,0.6512,0.0009,0.4337,0.4337,10
210,0.5983,0.0010,0.3984,0.3984,10
211,0.6538,0.0010,0.4354,0.4354,10
212,0.5525,0.0009,0.3679,0.3679,10
213,0.5557,0.0009,0.3700,0.3700,10
214,0.6020,0.0010,0.4009,0.4009,10
215,0.5473,0.0010,0.3644,0.3644,10
216,0.4994,0.0009,0.3325,0.3325,11
217,0.5969,0.0010,0.3975,0.3975,10
218,0.6021,0.0009,0.4010,0.4010,10
219,0.7031,0.0009,0.4683,0.4683,11
220,0.6460,0.0009,0.4302,0.4302,10
221,0.5021,0.0009,0.3343,0.3343,10
222,0.6035,0.0009,0.4019,0.4019,10
223,0.6025,0.0010,0.4012,0.4012,10
224,0.5508,0.0009,0.3668,0.3668,10
225,0.6489,0.0009,0.4322,0.4322,10
226,0.6997,0.0009,0.4661,0.4661,10
227,0.6525,0.0010,0.4346,0.4346,10
228,0.4517,0.0010,0.3007,0.3007,10
229,0.6001,0.0010,0.3996,0.3996,10
230,0.5508,0.0009,0.3668,0.3668,10
231,0.5480,0.0010,0.3649,0.3649,10
232,0.5997,0.0009,0.3993,0.3993,10
233,0.6982,0.0009,0.4650,0.4650,10
234,0.6501,0.0009,0.4330,0.4330,10
235,0.7522,0.0009,0.5011,0.5011,10
236,0.7532,0.0010,0.5017,0.5017,10
237,0.6015,0.0009,0.4006,0.4006,10
238,0.7531,0.0009,0.5016,0.5016,10
239,0.6991,0.0009,0.4656,0.4656,10
240,0.5450,0.0009,0.3629,0.3629,10
241,0.4453,0.0009,0.2965,0.2965,10
242,0.5470,0.0009,0.3643,0.3643,10
243,0.5539,0.0009,0.3689,0.3689,10
244,0.6528,0.0009,0.4348,0.4348,10
245,0.6009,0.0010,0.4002,0.4002,11
246,0.6983,0.0010,0.4651,0.4651,10
247,0.6003,0.0009,0.3998,0.3998,10
248,0.5525,0.0010,0.3679,0.3679,11
249,0.5521,0.0009,0.3676,0.3676,10
250,0.4967,0.0009,0.3307,0.3307,10
251,0.5485,0.0009,0.3652,0.3652,11
252,0.5035,0.0010,0.3352,0.3352,10
253,0.6019,0.0009,0.4008,0.4008,10
254,0.6538,0.0010,0.4354,0.4354,10
255,0.6019,0.0009,0.4008,0.4008,10
256,0.6031,0.0009,0.4016,0.4016,10
257,0.6000,0.0009,0.3996,0.3996,10
258,0.7027,0.0010,0.4680,0.4680,10
259,0.5504,0.0009,0.3665,0.3665,10
260,0.6025,0.0009,0.4013,0.4013,10
261,0.4019,0.0009,0.2675,0.2675,10
262,0.6020,0.0009,0.4009,0.4009,10
263,0.6006,0.0009,0.4000,0.4000,10
264,0.6019,0.0010,0.4008,0.4008,10
265,0.6490,0.0010,0.4322,0.4322,10
266,0.6010,0.0009,0.4002,0.4002,10
267,0.6493,0.0009,0.4325,0.4325,10
268,0.6017,0.0009,0.4007,0.4007,10
269,0.6053,0.0009,0.4031,0.4031,10
270,0.6006,0.0010,0.4000,0.4000,10
271,0.7537,0.0009,0.5020,0.5020,10
272,0.6497,0.0009,0.4327,0.4327,10
273,0.6511,0.0009,0.4336,0.4336,10
274,0.6528,0.0010,0.4347,0.4347,10
275,0.5019,0.0009,0.3341,0.3341,10
276,0.6517,0.0009,0.4340,0.4340,10
277,0.5496,0.0009,0.3660,0.3660,10
278,0.5552,0.0009,0.3697,0.3697,10
279,0.5993,0.0010,0.3991,0.3991,10
280,0.5497,0.0009,0.3661,0.3661,10
281,0.5521,0.0009,0.3676,0.3676,10
282,0.7503,0.0009,0.4998,0.4998,10
283,0.7000,0.0009,0.4663,0.4663,10
284,0.5507,0.0009,0.3667,0.3667,10
285,0.6501,0.0010,0.4329,0.4329,10
286,0.5990,0.0009,0.3989,0.3989,11
287,0.7013,0.0010,0.4671,0.4671,10
288,0.5001,0.0010,0.3329,0.3329,10
289,0.4476,0.0009,0.2979,0.2979,10
290,0.6046,0.0009,0.4026,0.4026,10
291,0.4985,0.0009,0.3319,0.3319,11
292,0.6048,0.0009,0.4028,0.4028,10
293,0.6035,0.0010,0.4019,0.4019,10
294,0.5952,0.0009,0.3964,0.3964,11
295,0.6520,0.0009,0.4343,0.4343,10
296,0.5518,0.0009,0.3674,0.3674,10
297,0.4530,0.0009,0.3015,0.3015,10
298,0.6043,0.0009,0.4024,0.4024,10
299,0.6051,0.0009,0.4030,0.4030,11
300,0.6035,0.0010,0.4019,0.4019,10
